YearStart,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age_Years,Education,Sex,Income,Race_Ethnicity,GeoLocation,StratificationCategory1,Stratification1,US_State,Latitude,Longitude,Region
2011,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,31.8,30.0,33.6,"4,723",,,,Female,,,"    (32.840571122, -86.631860762)",Sex,Female,True,32.840571122,-86.631860762,South
2011,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,29.9,34.7,"2,581",,,,Male,,,"    (32.840571122, -86.631860762)",Sex,Male,True,32.840571122,-86.631860762,South
2011,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,26.7,23.9,29.7,"1,716",,,,Female,,,"    (64.845079957001, -147.722059036)",Sex,Female,True,64.845079957001,-147.722059036,West
2011,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.0,28.0,24.9,31.3,"1,620",,,,Male,,,"    (64.845079957001, -147.722059036)",Sex,Male,True,64.845079957001,-147.722059036,West
2011,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,25.8,22.9,29.0,"3,676",,,,Female,,,"    (34.86597028, -111.763811277)",Sex,Female,True,34.86597028,-111.763811277,West
2011,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,24.4,21.5,27.6,"2,474",,,,Male,,,"    (34.86597028, -111.763811277)",Sex,Male,True,34.86597028,-111.763811277,West
2011,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.2,31.2,28.5,33.9,"2,846",,,,Female,,,"    (34.748650124, -92.274490743)",Sex,Female,True,34.748650124,-92.274490743,South
2011,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,30.7,27.5,34.1,"1,681",,,,Male,,,"    (34.748650124, -92.274490743)",Sex,Male,True,34.748650124,-92.274490743,South
2011,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,23.3,25.7,"9,929",,,,Female,,,"    (37.638640123, -120.999999538)",Sex,Female,True,37.638640123,-120.999999538,West
2011,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.1,23.1,21.8,24.5,"7,159",,,,Male,,,"    (37.638640123, -120.999999538)",Sex,Male,True,37.638640123,-120.999999538,West
2011,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.3,20.3,19.0,21.7,"7,276",,,,Female,,,"    (38.843840757, -106.133610921)",Sex,Female,True,38.843840757,-106.133610921,West
2011,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.1,21.1,19.6,22.7,"5,700",,,,Male,,,"    (38.843840757, -106.133610921)",Sex,Male,True,38.843840757,-106.133610921,West
2011,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,23.6,21.7,25.6,"3,887",,,,Female,,,"    (41.56266102, -72.649840952)",Sex,Female,True,41.56266102,-72.649840952,Northeast
2011,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,23.1,27.8,"2,570",,,,Male,,,"    (41.56266102, -72.649840952)",Sex,Male,True,41.56266102,-72.649840952,Northeast
2011,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,28.6,26.2,31.1,"2,742",,,,Female,,,"    (39.008830667, -75.577741168)",Sex,Female,True,39.008830667,-75.577741168,South
2011,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.0,29.0,26.2,31.9,"1,788",,,,Male,,,"    (39.008830667, -75.577741168)",Sex,Male,True,39.008830667,-75.577741168,South
2011,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.4,28.4,25.8,31.2,"2,652",,,,Female,,,"    (38.890371385, -77.031961127)",Sex,Female,True,38.890371385,-77.031961127,South
2011,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,18.6,18.6,16.0,21.4,"1,716",,,,Male,,,"    (38.890371385, -77.031961127)",Sex,Male,True,38.890371385,-77.031961127,South
2011,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.6,25.6,24.0,27.2,"6,942",,,,Female,,,"    (28.932040377, -81.928960539)",Sex,Female,True,28.932040377,-81.928960539,South
2011,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.7,27.7,25.8,29.6,"4,828",,,,Male,,,"    (28.932040377, -81.928960539)",Sex,Male,True,28.932040377,-81.928960539,South
2011,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.3,29.3,27.6,31.0,"5,898",,,,Female,,,"    (32.839681093, -83.627580346)",Sex,Female,True,32.839681093,-83.627580346,South
2011,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,26.7,24.7,28.9,"3,455",,,,Male,,,"    (32.839681093, -83.627580346)",Sex,Male,True,32.839681093,-83.627580346,South
2011,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.2,19.2,17.4,21.2,"4,152",,,,Female,,,"    (21.304850435, -157.857749403)",Sex,Female,True,21.304850435,-157.857749403,West
2011,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,24.4,22.2,26.7,"3,255",,,,Male,,,"    (21.304850435, -157.857749403)",Sex,Male,True,21.304850435,-157.857749403,West
2011,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.9,27.9,25.6,30.4,"3,334",,,,Female,,,"    (43.682630005, -114.363730042)",Sex,Female,True,43.682630005,-114.363730042,West
2011,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.2,26.2,23.7,28.9,"2,405",,,,Male,,,"    (43.682630005, -114.363730042)",Sex,Male,True,43.682630005,-114.363730042,West
2011,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,26.5,24.4,28.8,"3,166",,,,Female,,,"    (40.485010283, -88.997710178)",Sex,Female,True,40.485010283,-88.997710178,Midwest
2011,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.7,27.7,25.1,30.5,"2,189",,,,Male,,,"    (40.485010283, -88.997710178)",Sex,Male,True,40.485010283,-88.997710178,Midwest
2011,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,30.8,29.0,32.6,"4,806",,,,Female,,,"    (39.766910452, -86.149960194)",Sex,Female,True,39.766910452,-86.149960194,Midwest
2011,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,30.9,28.8,33.0,"3,242",,,,Male,,,"    (39.766910452, -86.149960194)",Sex,Male,True,39.766910452,-86.149960194,Midwest
2011,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,25.7,29.3,"3,946",,,,Female,,,"    (42.469400913, -93.816490556)",Sex,Female,True,42.469400913,-93.816490556,Midwest
2011,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,28.5,32.4,"2,952",,,,Male,,,"    (42.469400913, -93.816490556)",Sex,Male,True,42.469400913,-93.816490556,Midwest
2011,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.1,29.1,28.0,30.1,"11,604",,,,Female,,,"    (38.3477403, -98.200781227)",Sex,Female,True,38.3477403,-98.200781227,Midwest
2011,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.0,30.0,28.8,31.3,"8,015",,,,Male,,,"    (38.3477403, -98.200781227)",Sex,Male,True,38.3477403,-98.200781227,Midwest
2011,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.1,31.1,29.2,33.1,"6,485",,,,Female,,,"    (37.645970271, -84.774971048)",Sex,Female,True,37.645970271,-84.774971048,South
2011,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,27.5,31.9,"3,629",,,,Male,,,"    (37.645970271, -84.774971048)",Sex,Male,True,37.645970271,-84.774971048,South
2011,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,33.8,32.1,35.6,"6,933",,,,Female,,,"    (31.312660644, -92.445680071)",Sex,Female,True,31.312660644,-92.445680071,South
2011,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.0,33.0,30.8,35.4,"3,471",,,,Male,,,"    (31.312660644, -92.445680071)",Sex,Male,True,31.312660644,-92.445680071,South
2011,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.6,27.6,26.2,28.9,"7,537",,,,Female,,,"    (45.254228894001, -68.985031336)",Sex,Female,True,45.254228894001,-68.985031336,Northeast
2011,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.1,28.1,26.5,29.7,"5,106",,,,Male,,,"    (45.254228894001, -68.985031336)",Sex,Male,True,45.254228894001,-68.985031336,Northeast
2011,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.9,27.9,26.1,29.6,"5,754",,,,Female,,,"    (39.290580964, -76.609260111)",Sex,Female,True,39.290580964,-76.609260111,South
2011,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,28.7,26.6,31.0,"3,696",,,,Male,,,"    (39.290580964, -76.609260111)",Sex,Male,True,39.290580964,-76.609260111,South
2011,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.4,21.4,20.2,22.6,"12,311",,,,Female,,,"    (42.27687047, -72.082690675)",Sex,Female,True,42.27687047,-72.082690675,Northeast
2011,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.1,24.1,22.6,25.5,"8,221",,,,Male,,,"    (42.27687047, -72.082690675)",Sex,Male,True,42.27687047,-72.082690675,Northeast
2011,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,30.7,28.9,32.4,"6,188",,,,Female,,,"    (44.661319543001, -84.71439027)",Sex,Female,True,44.661319543001,-84.71439027,Midwest
2011,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.9,31.9,29.9,33.9,"4,391",,,,Male,,,"    (44.661319543001, -84.71439027)",Sex,Male,True,44.661319543001,-84.71439027,Midwest
2011,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.9,22.9,21.6,24.3,"7,853",,,,Female,,,"    (46.355648736, -94.794200503)",Sex,Female,True,46.355648736,-94.794200503,Midwest
2011,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.4,28.4,26.8,30.0,"6,534",,,,Male,,,"    (46.355648736, -94.794200503)",Sex,Male,True,46.355648736,-94.794200503,Midwest
